Date,Price,,,,,
16-Jul-23,"30,354.00",,,,,
9-Jul-23,"30,291.40",,,,,
2-Jul-23,"30,288.80",,,,,
25-Jun-23,"30,586.80",,,,,
18-Jun-23,"30,533.60",,,,,
11-Jun-23,"26,515.00",,,,,
4-Jun-23,"25,844.00",,,,,
28-May-23,"27,072.00",,,,,
21-May-23,"26,857.50",,,,,
14-May-23,"27,116.20",,,,,
7-May-23,"26,777.50",,,,,
30-Apr-23,"28,857.10",,,,,
23-Apr-23,"29,234.10",,,,,
16-Apr-23,"27,813.90",,,,,
9-Apr-23,"30,299.60",,,,,
2-Apr-23,"27,941.20",,,,,
26-Mar-23,"28,456.10",,,,,
19-Mar-23,"27,475.60",,,,,
12-Mar-23,"26,914.10",,,,,
5-Mar-23,"20,467.50",,,,,
26-Feb-23,"22,347.10",,,,,
19-Feb-23,"23,166.10",,,,,
12-Feb-23,"24,631.40",,,,,
5-Feb-23,"21,859.80",,,,,
29-Jan-23,"23,323.80",,,,,
22-Jan-23,"23,027.90",,,,,
15-Jan-23,"22,775.70",,,,,
8-Jan-23,"20,958.20",,,,,
1-Jan-23,"16,943.60",,,,,
25-Dec-22,"16,537.40",,,,,
18-Dec-22,"16,837.20",,,,,
11-Dec-22,"16,777.10",,,,,
4-Dec-22,"17,127.20",,,,,
27-Nov-22,"16,884.50",,,,,
20-Nov-22,"16,456.50",,,,,
13-Nov-22,"16,699.20",,,,,
6-Nov-22,"16,795.20",,,,,
30-Oct-22,"21,301.60",,,,,
23-Oct-22,"20,809.80",,,,,
16-Oct-22,"19,204.80",,,,,
9-Oct-22,"19,068.70",,,,,
2-Oct-22,"19,415.00",,,,,
25-Sep-22,"19,311.90",,,,,
18-Sep-22,"18,925.20",,,,,
11-Sep-22,"20,113.50",,,,,
4-Sep-22,"21,650.40",,,,,
28-Aug-22,"19,831.40",,,,,
21-Aug-22,"20,033.90",,,,,
14-Aug-22,"21,138.90",,,,,
7-Aug-22,"24,442.50",,,,,
31-Jul-22,"22,944.20",,,,,
24-Jul-22,"23,634.20",,,,,
17-Jul-22,"22,460.40",,,,,
10-Jul-22,"21,209.90",,,,,
3-Jul-22,"21,587.50",,,,,
26-Jun-22,"19,243.20",,,,,
19-Jun-22,"21,489.90",,,,,
12-Jun-22,"18,986.50",,,,,
5-Jun-22,"28,403.40",,,,,
29-May-22,"29,864.30",,,,,
22-May-22,"29,027.10",,,,,
15-May-22,"29,434.60",,,,,
8-May-22,"30,080.40",,,,,
1-May-22,"35,468.00",,,,,
24-Apr-22,"37,650.00",,,,,
17-Apr-22,"39,418.00",,,,,
10-Apr-22,"40,382.00",,,,,
3-Apr-22,"42,767.00",,,,,
27-Mar-22,"45,811.00",,,,,
20-Mar-22,"44,548.00",,,,,
13-Mar-22,"42,233.00",,,,,
6-Mar-22,"38,814.30",,,,,
27-Feb-22,"39,395.80",,,,,
20-Feb-22,"39,115.50",,,,,
13-Feb-22,"40,090.30",,,,,
6-Feb-22,"42,205.20",,,,,
30-Jan-22,"41,412.10",,,,,
23-Jan-22,"38,170.80",,,,,
16-Jan-22,"35,075.20",,,,,
9-Jan-22,"43,097.00",,,,,
2-Jan-22,"41,672.00",,,,,
26-Dec-21,"47,738.00",,,,,
19-Dec-21,"50,406.40",,,,,
12-Dec-21,"46,856.20",,,,,
5-Dec-21,"49,314.50",,,,,
28-Nov-21,"49,195.20",,,,,
21-Nov-21,"54,765.90",,,,,
14-Nov-21,"59,717.60",,,,,
7-Nov-21,"64,398.60",,,,,
31-Oct-21,"61,483.90",,,,,
24-Oct-21,"61,840.10",,,,,
17-Oct-21,"61,312.50",,,,,
10-Oct-21,"60,861.10",,,,,
3-Oct-21,"54,942.50",,,,,
26-Sep-21,"47,666.90",,,,,
19-Sep-21,"42,686.80",,,,,
12-Sep-21,"48,306.70",,,,,
5-Sep-21,"45,161.90",,,,,
29-Aug-21,"49,918.40",,,,,
22-Aug-21,"48,897.10",,,,,
15-Aug-21,"48,875.80",,,,,
8-Aug-21,"47,081.50",,,,,
1-Aug-21,"44,614.20",,,,,
25-Jul-21,"41,553.70",,,,,
18-Jul-21,"33,824.80",,,,,
11-Jul-21,"31,518.60",,,,,
4-Jul-21,"33,510.60",,,,,
27-Jun-21,"34,742.80",,,,,
20-Jun-21,"32,243.40",,,,,
13-Jun-21,"35,513.40",,,,,
6-Jun-21,"35,467.50",,,,,
30-May-21,"35,520.00",,,,,
23-May-21,"34,584.60",,,,,
16-May-21,"37,448.30",,,,,
9-May-21,"46,708.80",,,,,
2-May-21,"58,840.10",,,,,
25-Apr-21,"57,807.10",,,,,
18-Apr-21,"50,088.90",,,,,
11-Apr-21,"60,041.90",,,,,
4-Apr-21,"59,748.40",,,,,
28-Mar-21,"57,059.90",,,,,
21-Mar-21,"55,862.90",,,,,
14-Mar-21,"58,093.40",,,,,
7-Mar-21,"61,195.30",,,,,
28-Feb-21,"48,855.60",,,,,
21-Feb-21,"46,136.70",,,,,
14-Feb-21,"55,923.70",,,,,
7-Feb-21,"47,168.70",,,,,
31-Jan-21,"39,256.60",,,,,
24-Jan-21,"34,283.10",,,,,
17-Jan-21,"32,088.90",,,,,
10-Jan-21,"36,019.50",,,,,
3-Jan-21,"40,151.90",,,,,
27-Dec-20,"32,193.30",,,,,
20-Dec-20,"26,454.40",,,,,
13-Dec-20,"23,844.00",,,,,
6-Dec-20,"18,808.90",,,,,
29-Nov-20,"19,146.50",,,,,
22-Nov-20,"17,730.70",,,,,
15-Nov-20,"18,687.20",,,,,
8-Nov-20,"16,071.00",,,,,
1-Nov-20,"14,828.40",,,,,
25-Oct-20,"13,797.30",,,,,
18-Oct-20,"13,117.20",,,,,
11-Oct-20,"11,362.10",,,,,
4-Oct-20,"11,298.40",,,,,
27-Sep-20,"10,544.20",,,,,
20-Sep-20,"10,727.90",,,,,
13-Sep-20,"11,081.80",,,,,
6-Sep-20,"10,441.90",,,,,
30-Aug-20,"10,092.20",,,,,
23-Aug-20,"11,468.10",,,,,
16-Aug-20,"11,661.30",,,,,
9-Aug-20,"11,845.30",,,,,
2-Aug-20,"11,764.30",,,,,
26-Jul-20,"11,803.10",,,,,
19-Jul-20,"9,704.10",,,,,
12-Jul-20,"9,170.20",,,,,
5-Jul-20,"9,233.30",,,,,
28-Jun-20,"9,134.40",,,,,
21-Jun-20,"9,008.30",,,,,
14-Jun-20,"9,358.80",,,,,
7-Jun-20,"9,471.30",,,,,
31-May-20,"9,669.60",,,,,
24-May-20,"9,692.50",,,,,
17-May-20,"9,177.00",,,,,
10-May-20,"9,379.50",,,,,
3-May-20,"9,554.60",,,,,
26-Apr-20,"8,966.30",,,,,
19-Apr-20,"7,540.40",,,,,
12-Apr-20,"7,230.80",,,,,
5-Apr-20,"6,867.80",,,,,
29-Mar-20,"6,857.40",,,,,
22-Mar-20,"6,233.70",,,,,
15-Mar-20,"6,186.20",,,,,
8-Mar-20,"5,182.70",,,,,
1-Mar-20,"8,887.80",,,,,
23-Feb-20,"8,543.70",,,,,
16-Feb-20,"9,655.70",,,,,
9-Feb-20,"9,907.70",,,,,
2-Feb-20,"9,895.50",,,,,
26-Jan-20,"9,381.60",,,,,
19-Jan-20,"8,341.60",,,,,
12-Jan-20,"8,916.30",,,,,
5-Jan-20,"8,024.10",,,,,
29-Dec-19,"7,376.80",,,,,
22-Dec-19,"7,321.50",,,,,
15-Dec-19,"7,156.20",,,,,
8-Dec-19,"7,080.80",,,,,
1-Dec-19,"7,510.90",,,,,
24-Nov-19,"7,546.60",,,,,
17-Nov-19,"7,324.10",,,,,
10-Nov-19,"8,497.30",,,,,
3-Nov-19,"8,804.50",,,,,
27-Oct-19,"9,300.60",,,,,
20-Oct-19,"9,230.60",,,,,
13-Oct-19,"7,957.30",,,,,
6-Oct-19,"8,304.40",,,,,
29-Sep-19,"8,127.30",,,,,
22-Sep-19,"8,208.50",,,,,
15-Sep-19,"9,993.00",,,,,
8-Sep-19,"10,337.30",,,,,
1-Sep-19,"10,461.10",,,,,
25-Aug-19,"9,594.40",,,,,
18-Aug-19,"10,131.00",,,,,
11-Aug-19,"10,218.10",,,,,
4-Aug-19,"11,314.50",,,,,
28-Jul-19,"10,815.70",,,,,
21-Jul-19,"9,492.10",,,,,
